"ID.number","Date","Site","Plot","AM.PM","Quadrant","Field.ID","Field.sex","Lab.ID","Lab.sex","Caught.on","Previously.marked.","Collected.","Notes","collector","unique_id","year"
"",2019-06-06,"Snodgrass Lower",1,"AM",2,"Halictus sp.","F","Lasioglossum sp.","F","flag","N","Y","","","2019_1",2019
"",2019-06-06,"Snodgrass Lower",3,"AM",4,"Bombus bifarius","Q",NA,NA,"ground","N","N","nest searching","","",2019
"",2019-06-06,"Snodgrass Lower",4,"AM",2,"Lasioglossum sp.","F","Andrena sp.","M","ground","N","Y","","","2019_2",2019
"",2019-06-06,"Snodgrass Lower",4,"AM",2,"Andrena sp.","M","Andrena sp.","M","ground","N","Y","","","2019_3",2019
"",2019-06-06,"Snodgrass Lower",4,"AM",1,"Andrena sp.","M","Lasioglossum sp.","F","ground","N","Y","","","2019_4",2019
"",2019-06-06,"Snodgrass Lower",6,"AM",3,"Andrena sp.","M",NA,NA,"in flight","N","N","","","",2019
"",2019-06-06,"Snodgrass Lower",1,"PM",3,"Bombus bifarius","Q",NA,NA,"Mertensia fusiformis","N","N","","","",2019
"",2019-06-06,"Snodgrass Lower",3,"PM",2,"Bombus bifarius","Q",NA,NA,"ground","N","N","nest searching","","",2019
"",2019-06-06,"Snodgrass Lower",4,"PM",2,"Andrena sp.","M",NA,NA,"ground","N","N","","","",2019
"",2019-06-06,"Snodgrass Lower",4,"PM",1,"Andrena sp.","M",NA,NA,"ground","N","N","","","",2019
"",2019-06-06,"Snodgrass Lower",4,"PM",2,"Andrena sp.","M",NA,NA,"ground","N","N","","","",2019
"",2019-06-07,"Kettle Ponds",6,"AM",1,"Lasioglossum sp.","F","Lasioglossum sp.","F","ground","N","Y","","","2019_5",2019
"",2019-06-08,"Snodgrass Lower",4,"AM",2,"Bombus fervidus","Q",NA,NA,"ground","N","N","nest searching","","",2019
"",2019-06-08,"Snodgrass Lower",5,"AM",2,"Osmia sp.","M","Osmia sp.","M","ground","N","Y","","","2019_6",2019
"",2019-06-08,"Snodgrass Lower",2,"AM",3,"Lasioglossum sp.","F","Lasioglossum sp.","F","ground","N","Y","","","2019_7",2019
"",2019-06-08,"Snodgrass Lower",6,"AM",1,"Osmia sp.","M","Osmia sp.","M","ground","N","Y","","","2019_8",2019
"",2019-06-08,"Snodgrass Lower",1,"PM",2,"Lasioglossum sp.","F","Lasioglossum sp.","F","ground","N","Y","","","2019_9",2019
"",2019-06-08,"Snodgrass Lower",4,"PM",2,"Bombus fervidus","Q",NA,NA,"ground","N","N","nest searching","","",2019
"",2019-06-11,"Snodgrass Lower",2,"AM",3,"Lasioglossum sp.","F","Lasioglossum sp.","F","ground","N","Y","","","2019_10",2019
"",2019-06-11,"Snodgrass Lower",5,"AM",4,"Bombus flavifrons","Q",NA,NA,"ground","N","N","nest searching","","",2019
"",2019-06-11,"Snodgrass Lower",5,"AM",2,"Lasioglossum sp.","F",NA,NA,"Viola praemorsa","N","N","","","",2019
"",2019-06-11,"Snodgrass Lower",3,"PM",4,"Bombus rufocinctus","Q",NA,NA,"ground","N","N","nest searching","","",2019
"",2019-06-12,"401 Trail",1,NA,1,"Lasioglossum sp.","F","Lasioglossum sp.","F","ground","N","Y","","","2019_11",2019
"",2019-06-12,"401 Trail",2,NA,3,"Lasioglossum sp.","F","Lasioglossum sp.","F","ground","N","Y","","","2019_12",2019
"",2019-06-12,"401 Trail",4,NA,3,"Halictus sp.","F","Halictus virgatellus","F","Claytonia lanceolata","N","Y","","","2019_13",2019
"",2019-06-12,"401 Trail",4,NA,2,"Lasioglossum sp.","F",NA,NA,"Claytonia lanceolata","N","N","","","",2019
"",2019-06-12,"401 Trail",4,NA,1,"Lasioglossum sp.","F",NA,NA,"Claytonia lanceolata","N","N","","","",2019
"",2019-06-12,"401 Trail",4,NA,3,"Lasioglossum sp.","F",NA,NA,"Claytonia lanceolata","N","N","","","",2019
"",2019-06-12,"401 Trail",4,NA,3,"Osmia sp.","M","Osmia sp.","M","Claytonia lanceolata","N","Y","","","2019_14",2019
"",2019-06-12,"401 Trail",5,NA,3,"Sphecodes sp.","","Sphecodes sp.","F","ground","N","Y","","","2019_15",2019
"",2019-06-12,"401 Trail",5,NA,4,"Bombus bifarius","Q",NA,NA,"in flight","N","N","","","",2019
"",2019-06-13,"Bellview Lower",6,"PM",3,"Lasioglossum sp.","F","Lasioglossum sp.","F","ground","N","Y","","","2019_16",2019
"",2019-06-13,"Bellview Lower",6,"PM",1,"Lasioglossum sp.","F","Lasioglossum sp.","F","Claytonia lanceolata","N","Y","","","2019_17",2019
"",2019-06-14,"401 Trail",1,"AM",4,"Lasioglossum sp.","F","Lasioglossum sp.","F","Taraxacum officinale","N","Y","","","2019_18",2019
"",2019-06-14,"401 Trail",1,"AM",4,"Lasioglossum sp.","F","Lasioglossum sp.","F","Taraxacum officinale","N","Y","","","2019_19",2019
"",2019-06-14,"401 Trail",1,"AM",4,"Lasioglossum sp.","F",NA,"","Taraxacum officinale","N","N","","","",2019
"",2019-06-14,"401 Trail",1,"AM",4,"Lasioglossum sp.","F",NA,"","Taraxacum officinale","N","N","","","",2019
"",2019-06-14,"401 Trail",1,"AM",4,"Osmia sp.","F","Osmia sp.","F","Taraxacum officinale","N","Y","","","2019_20",2019
"",2019-06-14,"401 Trail",1,"AM",4,"Sphecodes sp.","F","Sphecodes sp.","F","Taraxacum officinale","N","Y","","","2019_21",2019
"",2019-06-14,"401 Trail",1,"AM",4,"Lasioglossum sp.","F",NA,"","Taraxacum officinale","N","N","","","",2019
"",2019-06-14,"401 Trail",3,"PM",4,"Bombus bifarius","Q",NA,"","Mertensia fusiformis","N","N","","","",2019
"",2019-06-14,"401 Trail",1,"PM",4,"Sphecodes sp.","F",NA,"","ground","N","N","","","",2019
"",2019-06-19,"401 Trail",6,"AM",3,"Lasioglossum sp.","F","Lasioglossum sp.","F","Ranunculus I.","N","Y","","","2019_22",2019
"",2019-06-19,"401 Trail",4,"PM",1,"Lasioglossum sp.","F","Lasioglossum sp.","F","Ranunculus I.","N","Y","","","2019_23",2019
"",2019-06-19,"401 Trail",1,"PM",2,"Halictus rubicundus","F","Halictus virgatellus","F","Claytonia lanceolata","N","Y","","","2019_24",2019
"",2019-06-19,"401 Trail",1,"PM",2,"Lasioglossum sp.","F",NA,NA,"Claytonia lanceolata","N","N","","","",2019
"",2019-06-19,"401 Trail",6,"PM",2,"Lasioglossum sp.","F",NA,NA,"Taraxacum officinale","N","N","","","",2019
"",2019-06-19,"401 Trail",6,"PM",3,"Lasioglossum sp.","F",NA,NA,"Taraxacum officinale","N","N","","","",2019
"",2019-06-19,"401 Trail",6,"PM",4,"Lasioglossum sp.","F",NA,NA,"Pseudocympoterus montanus","N","N","","","",2019
"MS1",2019-06-21,"401 Trail",4,"AM",1,"Lasioglossum sp.","F","Lasioglossum sp.","F","Taraxacum officinale","N","Y","","M. Stemkovski","2019_25",2019
"MS2",2019-06-21,"401 Trail",6,"AM",2,"Lasioglossum sp.","F","Lasioglossum sp.","F","Taraxacum officinale","N","Y","","M. Stemkovski","2019_26",2019
"MS3",2019-06-21,"401 Trail",6,"AM",2,"Hoplitis sp. / Ashmealiella sp.","M","Osmia sp.","M","Taraxacum officinale","N","Y","","M. Stemkovski","2019_27",2019
"",2019-06-21,"401 Trail",6,"AM",1,"Lasioglossum sp.","F","","","Taraxacum officinale","N","N","","","",2019
"",2019-06-21,"401 Trail",6,"AM",2,"Lasioglossum sp.","F","","","Taraxacum officinale","N","N","","","",2019
"",2019-06-21,"401 Trail",6,"AM",2,"Lasioglossum sp.","F","","","Taraxacum officinale","N","N","","","",2019
"",2019-06-21,"401 Trail",6,"PM",2,"Lasioglossum sp.","F","","","Taraxacum officinale","N","N","","","",2019
"",2019-06-21,"401 Trail",4,"PM",4,"Lasioglossum sp.","F","","","Taraxacum officinale","N","N","","","",2019
"",2019-06-21,"401 Trail",4,"PM",3,"Lasioglossum sp.","F","","","Taraxacum officinale","N","N","","","",2019
"",2019-06-21,"401 Trail",4,"PM",3,"Lasioglossum sp.","F","","","Taraxacum officinale","N","N","","","",2019
"MS1",2019-06-24,"Waterfall",1,"AM",1,"Halictus rubicundus","F","Halictus rubicundus","F","ground","N","Y","","M. Stemkovski","2019_28",2019
"MS2",2019-06-24,"Waterfall",3,"AM",1,"Sphecodes sp.","","Sphecodes sp.","F","ground","N","Y","","M. Stemkovski","2019_29",2019
"MS3",2019-06-24,"Waterfall",4,"AM",2,"Lasioglossum sp.","F","Lasioglossum sp.","F","Taraxacum officinale","N","Y","","M. Stemkovski","2019_30",2019
"MS4",2019-06-24,"Waterfall",4,"AM",2,"Lasioglossum sp.","F","Lasioglossum sp.","F","Taraxacum officinale","N","Y","","M. Stemkovski","2019_31",2019
"",2019-06-24,"Waterfall",4,"AM",2,"Lasioglossum sp.","F",NA,NA,"Taraxacum officinale","N","N","","","",2019
"",2019-06-24,"Waterfall",4,"AM",2,"Lasioglossum sp.","F",NA,NA,"Taraxacum officinale","N","N","","","",2019
"",2019-06-24,"Waterfall",4,"AM",4,"Lasioglossum sp.","F",NA,NA,"Taraxacum officinale","N","N","","","",2019
"",2019-06-24,"Waterfall",4,"AM",2,"Lasioglossum sp.","F",NA,NA,"Taraxacum officinale","N","N","","","",2019
"",2019-06-24,"Waterfall",4,"AM",1,"Lasioglossum sp.","F",NA,NA,"Taraxacum officinale","N","N","","","",2019
"",2019-06-24,"Waterfall",4,"AM",2,"Lasioglossum sp.","F",NA,NA,"Taraxacum officinale","N","N","","","",2019
"",2019-06-24,"Waterfall",4,"AM",3,"Lasioglossum sp.","F",NA,NA,"Taraxacum officinale","N","N","","","",2019
"",2019-06-24,"Waterfall",4,"AM",2,"Sphecodes sp.","",NA,NA,"Taraxacum officinale","N","N","","","",2019
"",2019-06-24,"Waterfall",4,"AM",2,"Sphecodes sp.","",NA,NA,"Taraxacum officinale","N","N","","","",2019
"",2019-06-24,"Waterfall",4,"AM",2,"Lasioglossum sp.","F",NA,NA,"Taraxacum officinale","N","N","","","",2019
"",2019-06-24,"Waterfall",4,"AM",2,"Lasioglossum sp.","F",NA,NA,"Taraxacum officinale","N","N","","","",2019
"MS5",2019-06-24,"Waterfall",5,"AM",2,"Andrena sp.","M","Andrena sp.","M","flight","N","Y","","M. Stemkovski","2019_32",2019
"",2019-06-24,"Waterfall",2,"AM",2,"Sphecodes sp.","",NA,NA,"ground","N","N","","","",2019
"",2019-06-24,"Waterfall",1,"PM",1,"Lasioglossum sp.","F",NA,NA,"ground","N","N","","","",2019
"MS6",2019-06-24,"Waterfall",3,"PM",3,"Halictus rubicundus","F","Halictus rubicundus","F","ground","N","Y","","M. Stemkovski","2019_33",2019
"",2019-06-24,"Waterfall",4,"PM",2,"Lasioglossum sp.","F",NA,NA,"Taraxacum officinale","N","N","","","",2019
"",2019-06-24,"Waterfall",4,"PM",2,"Lasioglossum sp.","F",NA,NA,"Taraxacum officinale","N","N","","","",2019
"",2019-06-24,"Waterfall",4,"PM",2,"Sphecodes sp.","",NA,NA,"Taraxacum officinale","N","N","","","",2019
"",2019-06-24,"Waterfall",4,"PM",1,"Sphecodes sp.","",NA,NA,"Taraxacum officinale","N","N","","","",2019
"MS1",2019-06-25,"401 Trail",5,"AM",2,"Lasioglossum sp.","F","Lasioglossum sp.","F","Taraxacum officinale","N","Y","","M. Stemkovski","2019_34",2019
"MS2",2019-06-25,"401 Trail",5,"AM",4,"Halictus rubicundus","F","Halictus rubicundus","F","Taraxacum officinale","N","Y","","M. Stemkovski","2019_35",2019
"",2019-06-25,"401 Trail",1,"AM",4,"Lasioglossum sp.","F",NA,NA,"Taraxacum officinale","N","N","","","",2019
"",2019-06-25,"401 Trail",3,"AM",1,"Lasioglossum sp.","F",NA,NA,"Taraxacum officinale","N","N","","","",2019
"",2019-06-25,"401 Trail",3,"AM",1,"Lasioglossum sp.","F",NA,NA,"Taraxacum officinale","N","N","","","",2019
"",2019-06-25,"401 Trail",2,"PM",4,"Bombus bifarius","Q",NA,NA,"Mertensia fusiformis","N","N","","","",2019
"",2019-06-25,"401 Trail",3,"PM",3,"Halictus rubicundus","F",NA,NA,"Viola praemorsa","N","N","","","",2019
"MS3",2019-06-25,"401 Trail",3,"PM",2,"Halictus sp.","F","Halictus virgatellus","F","Viola praemorsa","N","Y","","M. Stemkovski","2019_36",2019
"",2019-06-25,"401 Trail",3,"PM",4,"Lasioglossum sp.","F",NA,NA,"Taraxacum officinale","N","N","","","",2019
"",2019-06-25,"401 Trail",6,"PM",3,"Lasioglossum sp.","F",NA,NA,"Taraxacum officinale","N","N","","","",2019
"",2019-06-25,"401 Trail",4,"PM",2,"Lasioglossum sp.","F",NA,NA,"Taraxacum officinale","N","N","","","",2019
"",2019-06-26,"Waterfall",2,"AM",1,"Bombus appositus","Q",NA,NA,"Delphinium n.","N","N","","","",2019
"MS1",2019-06-26,"Waterfall",2,"AM",2,"Lasioglossum sp.","F","Lasioglossum sp.","F","Taraxacum officinale","N","Y","","M. Stemkovski","2019_37",2019
"MS2",2019-06-26,"Waterfall",2,"AM",2,"Lasioglossum sp.","F","Lasioglossum sp.","F","Taraxacum officinale","N","Y","","M. Stemkovski","2019_38",2019
"MS3",2019-06-26,"Waterfall",6,"AM",2,"Osmia sp.","M","Osmia sp.","M","Taraxacum officinale","N","Y","","M. Stemkovski","2019_39",2019
"",2019-06-26,"Waterfall",6,"AM",2,"Lasioglossum sp.","F",NA,NA,"Taraxacum officinale","N","N","","","",2019
"",2019-06-26,"Waterfall",6,"AM",4,"Lasioglossum sp.","F",NA,NA,"Taraxacum officinale","N","N","","","",2019
"",2019-06-26,"Waterfall",6,"AM",4,"Lasioglossum sp.","F",NA,NA,"Taraxacum officinale","N","N","","","",2019
"",2019-06-26,"Waterfall",6,"AM",2,"Sphecodes sp.","",NA,NA,"Taraxacum officinale","N","N","","","",2019
"AF1",2019-06-26,"Waterfall",4,"AM",4,"Osmia sp.","","Osmia sp.","F","ground","N","Y","","A. Fife","2019_40",2019
"MS4",2019-06-26,"Waterfall",2,"PM",2,"Halictus sp.","F","Halictus virgatellus","F","Taraxacum officinale","N","Y","not rubicundus","M. Stemkovski","2019_41",2019
"",2019-06-26,"Waterfall",6,"PM",2,"Lasioglossum sp.","F",NA,NA,"Taraxacum officinale","N","N","","","",2019
