"Date","Site","Plot","Quadrat","In.out.quadrats","In.out.transects","Species","Number.of.plants","Number.of.flowers.1","Number.of.flowers.2","Number.of.flowers.3","Number.of.flowers.4","Number.of.flowers.5","Number.of.flowers.6","Number.of.flowers.7","Number.of.flowers.8","Number.of.flowers.9","Number.of.flowers.10","Notes","year"
2019-06-06,"Snodgrass Lower",5,"A","in","in","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-06,"Snodgrass Lower",5,"B","in","in","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-06,"Snodgrass Lower",5,"C","in","in","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-06,"Snodgrass Lower",5,"D","in","in","Mertensia fusiformis",5,5,2,1,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-06,"Snodgrass Lower",1,"D","in","in","Mertensia fusiformis",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-06,"Snodgrass Lower",1,"C","in","in","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-06,"Snodgrass Lower",1,"B","in","in","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-06,"Snodgrass Lower",1,"A","in","in","Mertensia fusiformis",1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-06,"Snodgrass Lower",3,"A","in","in","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-06,"Snodgrass Lower",3,"B","in","in","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-06,"Snodgrass Lower",3,"C","in","in","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-06,"Snodgrass Lower",3,"D","in","in","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-06,"Snodgrass Lower",3,NA,"out","in","Mertensia fusiformis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-06,"Snodgrass Lower",2,"D","in","in","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-06,"Snodgrass Lower",2,"C","in","in","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-06,"Snodgrass Lower",2,"B","in","in","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-06,"Snodgrass Lower",2,"A","in","in","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-06,"Snodgrass Lower",4,"A","in","in","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-06,"Snodgrass Lower",4,"B","in","in","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-06,"Snodgrass Lower",4,"C","in","in","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-06,"Snodgrass Lower",4,"D","in","in","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-06,"Snodgrass Lower",6,"A","in","in","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
2019-06-06,"Snodgrass Lower",6,"B","in","in","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2019
