"Date","Site.","Day.number","Plot.number","Plot.Coordinates","Plot.bearing","subjective","Notes"
2019-06-12,"401 Trail",1,1,"38.59126, 107.00159",310,"","I adjusted the site boundaries on the ground, and haphazardly chose plot locations"
2019-06-12,"401 Trail",1,2,"38.59142, 107.00160",55,"",""
2019-06-12,"401 Trail",1,3,"38.59198, 107.00139",40,"",""
2019-06-12,"401 Trail",1,4,"38.59195, 107.00114",35,"",""
2019-06-12,"401 Trail",1,5,"38.59181, 107.00147",255,"",""
2019-06-12,"401 Trail",1,6,"38.59152, 107.00202",265,"",""
2019-06-13,"Bellview Lower",1,1,"38.59765, 107.00423",330,"","I adjusted the site boundaries on the ground, and haphazardly chose plot locations"
2019-06-13,"Bellview Lower",1,2,"38.59804, 107.00426",65,"",""
2019-06-13,"Bellview Lower",1,3,"38.59837, 107.00423",110,"",""
2019-06-13,"Bellview Lower",1,4,"38.59836, 107.00378",165,"",""
2019-06-13,"Bellview Lower",1,5,"38.59818, 107.00353",250,"",""
2019-06-13,"Bellview Lower",1,6,"38.59791, 107.00376",185,"",""
2019-06-06,"Snodgrass Lower",1,1,"c(-107.006523776699, 38.9975769013355)",NA,"",""
2019-06-06,"Snodgrass Lower",1,2,"c(-107.003720078527, 38.9974346223021)",NA,"",""
2019-06-06,"Snodgrass Lower",1,3,"c(-107.003884653215, 38.9988015064379)",NA,"",""
2019-06-06,"Snodgrass Lower",1,4,"c(-107.006212448193, 38.9975495788067)",NA,"",""
2019-06-06,"Snodgrass Lower",1,5,"c(-107.004748856963, 38.997598007124)",NA,"",""
2019-06-06,"Snodgrass Lower",1,6,"c(-107.004528111859, 38.999187894528)",NA,"",""
2019-06-07,"Kettle Ponds",1,1,"c(-106.97212272474, 38.9432982749744)",NA,"",""
2019-06-07,"Kettle Ponds",1,2,"c(-106.971566752443, 38.9440367806978)",NA,"",""
2019-06-07,"Kettle Ponds",1,3,"c(-106.972317199908, 38.9449593556068)",NA,"",""
2019-06-07,"Kettle Ponds",1,4,"c(-106.972598242671, 38.9439204504149)",NA,"",""
2019-06-07,"Kettle Ponds",1,5,"c(-106.973194154033, 38.9445249620425)",NA,"",""
2019-06-07,"Kettle Ponds",1,6,"c(-106.971093447811, 38.9449101536139)",NA,"",""
2019-06-08,"Snodgrass Lower",2,1,"c(-106.971349954672, 38.9193484869058)",NA,"",""
2019-06-08,"Snodgrass Lower",2,2,"c(-106.971252558039, 38.9199794308825)",NA,"",""
2019-06-08,"Snodgrass Lower",2,3,"c(-106.971818023518, 38.920052066969)",NA,"",""
2019-06-08,"Snodgrass Lower",2,4,"c(-106.970942987988, 38.9200458995359)",NA,"",""
2019-06-08,"Snodgrass Lower",2,5,"c(-106.970708189448, 38.919993270862)",NA,"",""
2019-06-08,"Snodgrass Lower",2,6,"c(-106.971332446149, 38.9205825995011)",NA,"",""
2019-06-10,"Kettle Ponds",2,6,"c(-106.972970455139, 38.9433992578009)",NA,"",""
2019-06-11,"Snodgrass Lower",3,1,"c(-106.971053441137, 38.9194235515081)",90,"",""
2019-06-11,"Snodgrass Lower",3,2,"c(-106.971626727633, 38.9193046871164)",215,"",""
2019-06-11,"Snodgrass Lower",3,3,"c(-106.971355918305, 38.9193610106817)",20,"",""
2019-06-11,"Snodgrass Lower",3,4,"c(-106.970687567532, 38.9207975869284)",45,"",""
2019-06-11,"Snodgrass Lower",3,5,"c(-106.971383924073, 38.9206107325283)",165,"",""
2019-06-11,"Snodgrass Lower",3,6,"c(-106.970799688596, 38.9201906214355)",340,"",""
2019-06-14,"401 Trail",2,1,"c(-107.003252902221, 38.9859261692079)",310,"",""
2019-06-14,"401 Trail",2,2,"c(-107.002851519046, 38.9852977822611)",285,"",""
