"ID number","Date","Site","Plot","AM/PM","Quadrant","Field ID","Field sex","Lab ID","Lab sex","Caught on","Previously marked?","Collected?","Notes"
,"06/06/19","Snodgrass Lower",1,"AM",2,"Halictus sp.","F","Lasioglossum nigrum","F","flag","N","Y",
,"06/06/19","Snodgrass Lower",3,"AM",4,"Bombus bifarius","Q","NA","NA","ground","N","N","nest searching"
,"06/06/19","Snodgrass Lower",4,"AM",2,"Lasioglossum sp.","F","Lasioglossum sedi","F","ground","N","Y",
,"06/06/19","Snodgrass Lower",4,"AM",2,"Andrena sp.","M","Andrena sp.","M","ground","N","Y",
,"06/06/19","Snodgrass Lower",4,"AM",1,"Andrena sp.","M","Andrena sp.","M","ground","N","Y",
,"06/06/19","Snodgrass Lower",6,"AM",3,"Andrena sp.","M","NA","NA","in flight","N","N",
,"06/06/19","Snodgrass Lower",1,"PM",3,"Bombus bifarius","Q","NA","NA","Mertensia fusiformis","N","N",
,"06/06/19","Snodgrass Lower",3,"PM",2,"Bombus bifarius","Q","NA","NA","ground","N","N","nest searching"
,"06/06/19","Snodgrass Lower",4,"PM",2,"Andrena sp.","M","NA","NA","ground","N","N",
,"06/06/19","Snodgrass Lower",4,"PM",1,"Andrena sp.","M","NA","NA","ground","N","N",
,"06/06/19","Snodgrass Lower",4,"PM",2,"Andrena sp.","M","NA","NA","ground","N","N",
,"06/07/19","Kettle Ponds",6,"AM",1,"Lasioglossum sp.","F","Lasioglossum inconditum","F","ground","N","Y",
,"06/08/19","Snodgrass Lower",4,"AM",2,"Bombus fervidus","Q","NA","NA","ground","N","N","nest searching"
,"06/08/19","Snodgrass Lower",5,"AM",2,"Osmia sp.","M","Osmia sp.","M","ground","N","Y",
,"06/08/19","Snodgrass Lower",2,"AM",3,"Lasioglossum sp.","F","Lasioglossum ruidosense","F","ground","N","Y",
,"06/08/19","Snodgrass Lower",6,"AM",1,"Osmia sp.","M","Osmia sp.","M","ground","N","Y",
,"06/08/19","Snodgrass Lower",1,"PM",2,"Lasioglossum sp.","F","Lasioglossum ruidosense","F","ground","N","Y",
,"06/08/19","Snodgrass Lower",4,"PM",2,"Bombus fervidus","Q","NA","NA","ground","N","N","nest searching"
,"06/11/19","Snodgrass Lower",2,"AM",3,"Lasioglossum sp.","F",,,"ground","N","Y",
,"06/11/19","Snodgrass Lower",5,"AM",4,"Bombus flavifrons","Q","NA","NA","ground","N","N","nest searching"
,"06/11/19","Snodgrass Lower",5,"AM",2,"Lasioglossum sp.","F","NA","NA","Viola praemorsa","N","N",
,"06/11/19","Snodgrass Lower",3,"PM",4,"Bombus rufocinctus","Q","NA","NA","ground","N","N","nest searching"
,"06/12/19","401 Trail",1,"NA",1,"Lasioglossum sp.","F",,,"ground","N","Y",
,"06/12/19","401 Trail",2,"NA",3,"Lasioglossum sp.","F",,,"ground","N","Y",
,"06/12/19","401 Trail",4,"NA",3,"Halictus sp.","F",,,"Claytonia lanceolata","N","Y",
,"06/12/19","401 Trail",4,"NA",2,"Lasioglossum sp.","F","NA","NA","Claytonia lanceolata","N","N",
,"06/12/19","401 Trail",4,"NA",1,"Lasioglossum sp.","F","NA","NA","Claytonia lanceolata","N","N",
,"06/12/19","401 Trail",4,"NA",3,"Lasioglossum sp.","F","NA","NA","Claytonia lanceolata","N","N",
,"06/12/19","401 Trail",4,"NA",3,"Osmia sp.","M",,,"Claytonia lanceolata","N","Y",
,"06/12/19","401 Trail",5,"NA",3,"Sphecodes sp.",,,,"ground","N","Y",
,"06/12/19","401 Trail",5,"NA",4,"Bombus bifarius","Q","NA","NA","in flight","N","N",
,"06/13/19","Bellview Lower",6,"PM",3,"Lasioglossum sp.","F",,,"ground","N","Y",
,"06/13/19","Bellview Lower",6,"PM",1,"Lasioglossum sp.","F",,,"Claytonia lanceolata","N","Y",
,"06/14/19","401 Trail",1,"AM",4,"Lasioglossum sp.","F",,,"Taraxacum officinale","N","Y",
,"06/14/19","401 Trail",1,"AM",4,"Lasioglossum sp.","F",,,"Taraxacum officinale","N","Y",
,"06/14/19","401 Trail",1,"AM",4,"Lasioglossum sp.","F","NA",,"Taraxacum officinale","N","N",
,"06/14/19","401 Trail",1,"AM",4,"Lasioglossum sp.","F","NA",,"Taraxacum officinale","N","N",
,"06/14/19","401 Trail",1,"AM",4,"Osmia sp.","F",,,"Taraxacum officinale","N","Y",
,"06/14/19","401 Trail",1,"AM",4,"Sphecodes sp.","F",,,"Taraxacum officinale","N","Y",
,"06/14/19","401 Trail",1,"AM",4,"Lasioglossum sp.","F","NA",,"Taraxacum officinale","N","N",
,"06/14/19","401 Trail",3,"PM",4,"Bombus bifarius","Q","NA",,"Mertensia fusiformis","N","N",
,"06/14/19","401 Trail",1,"PM",4,"Sphecodes sp.","F","NA",,"ground","N","N",
,"06/19/19","401 Trail",6,"AM",3,"Lasioglossum sp.","F",,,"Ranunculus I.","N","Y",
,"06/19/19","401 Trail",4,"PM",1,"Lasioglossum sp.","F",,,"Ranunculus I.","N","Y",
,"06/19/19","401 Trail",1,"PM",2,"Halictus rubicundus","F",,,"Claytonia lanceolata","N","Y",
,"06/19/19","401 Trail",1,"PM",2,"Lasioglossum sp.","F","NA","NA","Claytonia lanceolata","N","N",
,"06/19/19","401 Trail",6,"PM",2,"Lasioglossum sp.","F","NA","NA","Taraxacum officinale","N","N",
,"06/19/19","401 Trail",6,"PM",3,"Lasioglossum sp.","F","NA","NA","Taraxacum officinale","N","N",
,"06/19/19","401 Trail",6,"PM",4,"Lasioglossum sp.","F","NA","NA","Pseudocympoterus montanus","N","N",
"MS1","06/21/19","401 Trail",4,"AM",1,"Lasioglossum sp.","F",,,"Taraxacum officinale","N","Y",
"MS2","06/21/19","401 Trail",6,"AM",2,"Lasioglossum sp.","F",,,"Taraxacum officinale","N","Y",
"MS3","06/21/19","401 Trail",6,"AM",2,"Hoplitis sp. / Ashmealiella sp.","M",,,"Taraxacum officinale","N","Y",
,"06/21/19","401 Trail",6,"AM",1,"Lasioglossum sp.","F",,,"Taraxacum officinale","N","N",
,"06/21/19","401 Trail",6,"AM",2,"Lasioglossum sp.","F",,,"Taraxacum officinale","N","N",
,"06/21/19","401 Trail",6,"AM",2,"Lasioglossum sp.","F",,,"Taraxacum officinale","N","N",
,"06/21/19","401 Trail",6,"PM",2,"Lasioglossum sp.","F",,,"Taraxacum officinale","N","N",
,"06/21/19","401 Trail",4,"PM",4,"Lasioglossum sp.","F",,,"Taraxacum officinale","N","N",
,"06/21/19","401 Trail",4,"PM",3,"Lasioglossum sp.","F",,,"Taraxacum officinale","N","N",
,"06/21/19","401 Trail",4,"PM",3,"Lasioglossum sp.","F",,,"Taraxacum officinale","N","N",
"MS1","06/24/19","Waterfall",1,"AM",1,"Halictus rubicundus","F",,,"ground","N","Y",
"MS2","06/24/19","Waterfall",3,"AM",1,"Sphecodes sp.",,,,"ground","N","Y",
"MS3","06/24/19","Waterfall",4,"AM",2,"Lasioglossum sp.","F",,,"Taraxacum officinale","N","Y",
"MS4","06/24/19","Waterfall",4,"AM",2,"Lasioglossum sp.","F",,,"Taraxacum officinale","N","Y",
,"06/24/19","Waterfall",4,"AM",2,"Lasioglossum sp.","F","NA","NA","Taraxacum officinale","N","N",
,"06/24/19","Waterfall",4,"AM",2,"Lasioglossum sp.","F","NA","NA","Taraxacum officinale","N","N",
,"06/24/19","Waterfall",4,"AM",4,"Lasioglossum sp.","F","NA","NA","Taraxacum officinale","N","N",
,"06/24/19","Waterfall",4,"AM",2,"Lasioglossum sp.","F","NA","NA","Taraxacum officinale","N","N",
,"06/24/19","Waterfall",4,"AM",1,"Lasioglossum sp.","F","NA","NA","Taraxacum officinale","N","N",
,"06/24/19","Waterfall",4,"AM",2,"Lasioglossum sp.","F","NA","NA","Taraxacum officinale","N","N",
,"06/24/19","Waterfall",4,"AM",3,"Lasioglossum sp.","F","NA","NA","Taraxacum officinale","N","N",
,"06/24/19","Waterfall",4,"AM",2,"Sphecodes sp.",,"NA","NA","Taraxacum officinale","N","N",
,"06/24/19","Waterfall",4,"AM",2,"Sphecodes sp.",,"NA","NA","Taraxacum officinale","N","N",
,"06/24/19","Waterfall",4,"AM",2,"Lasioglossum sp.","F","NA","NA","Taraxacum officinale","N","N",
,"06/24/19","Waterfall",4,"AM",2,"Lasioglossum sp.","F","NA","NA","Taraxacum officinale","N","N",
"MS5","06/24/19","Waterfall",5,"AM",2,"Andrena sp.","M",,,"flight","N","Y",
,"06/24/19","Waterfall",2,"AM",2,"Sphecodes sp.",,"NA","NA","ground","N","N",
,"06/24/19","Waterfall",1,"PM",1,"Lasioglossum sp.","F","NA","NA","ground","N","N",
"MS6","06/24/19","Waterfall",3,"PM",3,"Halictus rubicundus","F",,,"ground","N","Y",
,"06/24/19","Waterfall",4,"PM",2,"Lasioglossum sp.","F","NA","NA","Taraxacum officinale","N","N",
,"06/24/19","Waterfall",4,"PM",2,"Lasioglossum sp.","F","NA","NA","Taraxacum officinale","N","N",
,"06/24/19","Waterfall",4,"PM",2,"Sphecodes sp.",,"NA","NA","Taraxacum officinale","N","N",
,"06/24/19","Waterfall",4,"PM",1,"Sphecodes sp.",,"NA","NA","Taraxacum officinale","N","N",
"MS1","06/25/19","401 Trail",5,"AM",2,"Lasioglossum sp.","F",,,"Taraxacum officinale","N","Y",
"MS2","06/25/19","401 Trail",5,"AM",4,"Halictus rubicundus","F",,,"Taraxacum officinale","N","Y",
,"06/25/19","401 Trail",1,"AM",4,"Lasioglossum sp.","F","NA","NA","Taraxacum officinale","N","N",
,"06/25/19","401 Trail",3,"AM",1,"Lasioglossum sp.","F","NA","NA","Taraxacum officinale","N","N",
,"06/25/19","401 Trail",3,"AM",1,"Lasioglossum sp.","F","NA","NA","Taraxacum officinale","N","N",
,"06/25/19","401 Trail",2,"PM",4,"Bombus bifarius","Q","NA","NA","Mertensia fusiformis","N","N",
,"06/25/19","401 Trail",3,"PM",3,"Halictus rubicundus","F","NA","NA","Viola praemorsa","N","N",
"MS3","06/25/19","401 Trail",3,"PM",2,"Halictus sp.","F",,,"Viola praemorsa","N","Y",
,"06/25/19","401 Trail",3,"PM",4,"Lasioglossum sp.","F","NA","NA","Taraxacum officinale","N","N",
,"06/25/19","401 Trail",6,"PM",3,"Lasioglossum sp.","F","NA","NA","Taraxacum officinale","N","N",
,"06/25/19","401 Trail",4,"PM",2,"Lasioglossum sp.","F","NA","NA","Taraxacum officinale","N","N",
,"06/26/19","Waterfall",2,"AM",1,"Bombus appositus","Q","NA","NA","Delphinium n.","N","N",
"MS1","06/26/19","Waterfall",2,"AM",2,"Lasioglossum sp.","F",,,"Taraxacum officinale","N","Y",
"MS2","06/26/19","Waterfall",2,"AM",2,"Lasioglossum sp.","F",,,"Taraxacum officinale","N","Y",
"MS3","06/26/19","Waterfall",6,"AM",2,"Osmia sp.","M",,,"Taraxacum officinale","N","Y",
,"06/26/19","Waterfall",6,"AM",2,"Lasioglossum sp.","F","NA","NA","Taraxacum officinale","N","N",
,"06/26/19","Waterfall",6,"AM",4,"Lasioglossum sp.","F","NA","NA","Taraxacum officinale","N","N",
,"06/26/19","Waterfall",6,"AM",4,"Lasioglossum sp.","F","NA","NA","Taraxacum officinale","N","N",
,"06/26/19","Waterfall",6,"AM",2,"Sphecodes sp.",,"NA","NA","Taraxacum officinale","N","N",
"AF1","06/26/19","Waterfall",4,"AM",4,"Osmia sp.",,,,"ground","N","Y",
"MS4","06/26/19","Waterfall",2,"PM",2,"Halictus sp.","F",,,"Taraxacum officinale","N","Y","not rubicundus"
,"06/26/19","Waterfall",6,"PM",2,"Lasioglossum sp.","F","NA","NA","Taraxacum officinale","N","N",
"MS5","06/26/19","Waterfall",6,"PM",2,"Halictus sp.","F",,,"Taraxacum officinale","N","Y","not rubicundus"
,"06/26/19","Waterfall",6,"PM",3,"Lasioglossum sp.","F","NA","NA","Taraxacum officinale","N","N",
,"06/26/19","Waterfall",3,"PM",3,"Lasioglossum sp.","F","NA","NA","ground","N","N",
,"06/27/19","401 Trail",5,"AM",1,"Megachile sp.","F","NA","NA","ground","N","N",
"MS1","06/27/19","401 Trail",6,"AM",2,"Lasioglossum sp.",,,,"Taraxacum officinale","N","Y",
"MS2","06/27/19","401 Trail",6,"AM",1,"Sphecodes sp.","F",,,"Taraxacum officinale","N","Y",
,"06/27/19","401 Trail",6,"AM",1,"Lasioglossum sp.","F","NA","NA","Taraxacum officinale","N","N",
"MS3","06/27/19","401 Trail",1,"AM",3,"Sphecodes sp.",,,,"ground","N","Y",
,"06/27/19","401 Trail",6,"PM",1,"Lasioglossum sp.","F","NA","NA","Taraxacum officinale","N","N",
,"06/27/19","401 Trail",6,"PM",1,"Lasioglossum sp.","F","NA","NA","Taraxacum officinale","N","N",
"MS4","06/27/19","401 Trail",5,"PM",1,"Halictus sp.","F",,,"Viola praemorsa","N","Y","not rubicundus"
,"06/27/19","401 Trail",1,"PM",3,"Sphecodes sp.",,"NA","NA","ground","N","N",
"MS5","06/27/19","401 Trail",1,"PM",4,"Nomada sp.",,,,"ground","N","Y",
"MS1","06/28/19","Waterfall",1,"AM",1,"Lasioglossum sp.","F",,,"Taraxacum officinale","N","Y",
"MS2","06/28/19","Waterfall",1,"AM",1,"Lasioglossum sp.","F",,,"Taraxacum officinale","N","Y",
,"06/28/19","Waterfall",1,"AM",4,"Lasioglossum sp.","F",,,"Taraxacum officinale","N","N",
,"06/28/19","Waterfall",1,"AM",4,"Lasioglossum sp.","F",,,"Taraxacum officinale","N","N",
,"06/28/19","Waterfall",2,"AM",4,"Lasioglossum sp.","F",,,"Taraxacum officinale","N","N",
,"06/28/19","Waterfall",6,"AM",4,"Lasioglossum sp.","F",,,"Taraxacum officinale","N","N",
