ID number,Date,Site,Plot,AM/PM,Quadrant,Field ID,Field sex,Lab ID,Lab sex,Caught on,Previously marked?,Collected?,Notes
,05/14/21,401 Trail,4,AM,1,Lasioglossum sp.,F,,,nest searching,N,,
,05/14/21,401 Trail,6,AM,NA,none,NA,,,NA,NA,NA,I saw what I thought was a smaller Halictus (not rub) flying with organge pollen balls but failed to catch it
,05/20/21,401 Trail,5,AM,2,Lasioglossum sp.,F,,,ground,Y-yellow,N,
,05/25/21,401 Trail,4,AM,3,Osmia sp.,F,,,ground,N,N,
,05/25/21,401 Trail,6,AM,2,Lasioglossum sp.,F,,,ground,N,N,
MS1,05/25/21,401 Trail,6,AM,1,Halictus sp.,F,,,ground,N,Y,Not rubicundus
MS2,05/25/21,401 Trail,6,AM,2,Halictus rubicundus,F,,,nest searching,N,Y,
,05/25/21,401 Trail,6,AM,2,Halictus rubicundus,F,,,nest searching,N,N,
,05/25/21,401 Trail,6,AM,2,Lasioglossum sp.,F,,,ground,N,N,
,05/25/21,401 Trail,5,PM,1,Lasioglossum sp.,F,,,Noccea fendleri,N,N,
,05/25/21,401 Trail,1,PM,1,Lasioglossum sp.,F,,,Taraxacum officinale ,N,N,
,05/25/21,401 Trail,1,PM,1,Lasioglossum sp.,F,,,Taraxacum officinale ,N,N,
,05/25/21,401 Trail,1,PM,2,Halictus rubicundus,F,,,nest searching,N,N,
,05/25/21,401 Trail,6,PM,2,Lasioglossum sp.,F,,,Mertensia fusiformis,N,N,
,05/25/21,401 Trail,6,PM,2,Lasioglossum sp.,F,,,nest searching,N,N,
,05/25/21,401 Trail,6,PM,2,Halictus rubicundus,F,,,nest searching,N,N,
MS3,05/25/21,401 Trail,6,PM,3,Andrena sp.,F,,,ground,N,Y,
,05/25/21,401 Trail,6,PM,3,Halictus rubicundus,F,,,ground,N,N,
,05/25/21,401 Trail,4,PM,3,Sphecodes sp.,F,,,nest searching,N,N,
,05/25/21,401 Trail,4,PM,4,Halictus sp.,F,,,nest searching,N,N,
,05/25/21,401 Trail,4,PM,4,Halictus sp.,F,,,nest searching,N,N,
,05/25/21,401 Trail,4,PM,4,Halictus sp.,F,,,nest searching,N,N,
,05/25/21,401 Trail,4,PM,4,Halictus sp.,F,,,nest searching,N,N,
,05/25/21,401 Trail,4,PM,3,Halictus sp.,F,,,nest searching,N,N,
,05/25/21,401 Trail,3,PM,2,Lasioglossum sp.,F,,,nest searching,N,N,
,05/26/21,Waterfall,1,AM,1,Lasioglossum sp.,F,,,ground,N,N,
,05/26/21,Waterfall,4,AM,3,Lasioglossum sp.,F,,,ground,N,N,
,05/27/21,401 Trail,6,AM,3,Halictus sp.,F,,,ground,N,N,
,05/27/21,401 Trail,5,AM,4,Lasioglossum sp.,F,,,Taraxacum officinale ,N,N,
,05/27/21,401 Trail,5,AM,4,Lasioglossum sp.,F,,,Taraxacum officinale ,N,N,
,05/27/21,401 Trail,4,PM,4,Lasioglossum sp.,F,,,Claytonia lanceolata,N,N,
MS1,05/27/21,401 Trail,5,PM,4,Halictus sp.,F,,,Taraxacum officinale ,N,Y,
,05/27/21,401 Trail,6,PM,4,Halictus rubicundus,F,,,nest searching,N,N,
,05/27/21,401 Trail,6,PM,2,Lasioglossum sp.,F,,,ground,N,N,
,05/27/21,401 Trail,6,PM,1,Lasioglossum sp.,F,,,nest searching,N,N,
,05/27/21,401 Trail,6,PM,1,Sphecodes sp.,,,,nest searching,N,N,
,05/27/21,401 Trail,6,PM,1,Lasioglossum sp.,F,,,nest searching,N,N,
,05/27/21,401 Trail,6,PM,1,Halictus sp.,F,,,nest searching,N,N,
,05/27/21,401 Trail,6,PM,4,Lasioglossum sp.,F,,,nest searching,N,N,
,05/27/21,401 Trail,6,PM,1,Sphecodes sp.,F,,,nest searching,N,N,
,05/27/21,401 Trail,1,PM,3,Nomada sp.,F,,,ground,N,N,
,05/28/21,Waterfall,6,AM,3,Lasioglossum sp.,F,,,Taraxacum officinale ,N,N,
,05/28/21,Waterfall,6,AM,3,Lasioglossum sp.,F,,,Taraxacum officinale ,N,N,
,05/28/21,Waterfall,6,AM,3,Lasioglossum sp.,F,,,Taraxacum officinale ,N,N,
,05/28/21,Waterfall,6,AM,3,Andrena sp.,M,,,in flight,N,N,
,05/28/21,Waterfall,4,AM,2,Lasioglossum sp.,F,,,ground,N,N,
,05/28/21,Waterfall,5,AM,4,Andrena sp.,M,,,in flight,N,N,
,05/28/21,Waterfall,5,AM,1,Halictus rubicundus,F,,,nest searching,N,N,
,05/28/21,Waterfall,5,AM,1,Andrena sp.,F,,,in flight,N,N,
,05/28/21,Waterfall,6,PM,3,Lasioglossum sp.,F,,,Taraxacum officinale ,N,N,
,05/28/21,Waterfall,6,PM,3,Lasioglossum sp.,F,,,Taraxacum officinale ,N,N,
,05/28/21,Waterfall,6,PM,3,Lasioglossum sp.,F,,,Taraxacum officinale ,N,N,
,05/28/21,Waterfall,6,PM,3,Lasioglossum sp.,F,,,Taraxacum officinale ,N,N,
,05/28/21,Waterfall,6,PM,3,Lasioglossum sp.,F,,,Taraxacum officinale ,N,N,
,05/28/21,Waterfall,6,PM,3,Bombus bifarius,Q,,,nest searching,N,N,
,05/28/21,Waterfall,3,PM,2,Lasioglossum sp.,F,,,Erythronium grandiflorum,N,N,
,05/28/21,Waterfall,2,PM,3,Halictus rubicundus,F,,,nest searching,N,N,
,05/28/21,Waterfall,5,PM,2,Lasioglossum sp.,F,,,nest searching,N,N,
,05/28/21,Waterfall,5,PM,4,Lasioglossum sp.,F,,,nest searching,N,N,
,05/28/21,Waterfall,5,PM,2,Halictus rubicundus,F,,,nest searching,N,N,Didn't catch it but 75% confident of ID
,05/28/21,Waterfall,4,PM,4,Halictus rubicundus,F,,,nest searching,N,N,
,05/29/21,401 Trail,3,AM,1,Lasioglossum sp.,F,,,Taraxacum officinale ,N,N,
,05/29/21,401 Trail,3,AM,1,Lasioglossum sp.,F,,,Fragaria virginiana ,N,N,
,05/29/21,401 Trail,3,AM,3,Lasioglossum sp.,F,,,Taraxacum officinale ,N,N,
,05/29/21,401 Trail,3,AM,2,Lasioglossum sp.,F,,,Taraxacum officinale ,N,N,
,05/29/21,401 Trail,5,AM,2,Lasioglossum sp.,F,,,Taraxacum officinale ,N,N,
,05/29/21,401 Trail,6,AM,2,Andrena sp.,F,,,ground,N,N,With pollen
,05/29/21,401 Trail,6,AM,3,Halictus rubicundus,F,,,nest searching,N,N,
,05/29/21,401 Trail,6,AM,2,Halictus rubicundus,F,,,nest searching,N,N,
,05/29/21,401 Trail,5,PM,3,Lasioglossum sp.,F,,,Taraxacum officinale ,N,N,
,05/29/21,401 Trail,1,PM,2,Bombus bifarius,Q,,,in flight,N,N,
,05/29/21,401 Trail,6,PM,3,Halictus sp.,F,,,nest searching,N,N,
