Date,Site,Plot,Quadrat,In/out quadrats,In/out transects,Species,Number of flowers,Notes
05/14/21,401 Trail,3,D,in,in,none,,
05/14/21,401 Trail,3,C,in,in,Claytonia lanceolata,2,
05/14/21,401 Trail,3,B,in,in,none,,
05/14/21,401 Trail,3,A,in,in,none,,
05/14/21,401 Trail,2,NA,out,in,Claytonia lanceolata,,
05/14/21,401 Trail,NA,NA,out,out,Mertensia fusiformis,,
05/15/21,Waterfall,2,D,in,in,Mertensia fusiformis,5,
05/15/21,Waterfall,2,C,in,in,none,,
05/15/21,Waterfall,2,B,in,in,none,,
05/15/21,Waterfall,2,A,in,in,none,,
05/15/21,Waterfall,NA,NA,out,out,Claytonia lanceolata,,
05/18/21,401 Trail,2,D,in,in,none,,
05/18/21,401 Trail,2,C,in,in,Ranunculus inamoenus ,1,
05/18/21,401 Trail,2,B,in,in,none,,
05/18/21,401 Trail,2,A,in,in,none,,
05/18/21,401 Trail,2,NA,out,in,Mertensia fusiformis,,
05/18/21,401 Trail,3,NA,out,in,Mertensia fusiformis,,
05/18/21,401 Trail,4,D,in,in,none,,
05/18/21,401 Trail,4,C,in,in,none,,
05/18/21,401 Trail,4,B,in,in,none,,
05/18/21,401 Trail,4,A,in,in,Mertensia fusiformis,4,
05/18/21,401 Trail,6,A,in,in,none,,
05/18/21,401 Trail,NA,NA,out,out,Claytonia lanceolata,,
05/19/21,Waterfall,1,D,in,in,none,,
05/19/21,Waterfall,1,C,in,in,none,,
05/19/21,Waterfall,1,B,in,in,none,,
05/19/21,Waterfall,1,A,in,in,Mertensia fusiformis,8,
05/19/21,Waterfall,4,D,in,in,none,,
05/19/21,Waterfall,4,C,in,in,none,,
05/19/21,Waterfall,4,B,in,in,none,,
05/19/21,Waterfall,4,A,in,in,Mertensia fusiformis,14,
05/19/21,Waterfall,5,NA,out,in,Mertensia fusiformis,,
05/20/21,401 Trail,4,D,in,in,Claytonia lanceolata,8,
05/20/21,401 Trail,4,C,in,in,Claytonia lanceolata,14,
05/20/21,401 Trail,4,B,in,in,Claytonia lanceolata,6,
05/20/21,401 Trail,4,A,in,in,Mertensia fusiformis,2,
05/20/21,401 Trail,5,NA,out,in,Mertensia fusiformis,,
05/25/21,401 Trail,6,D,in,in,none,,
05/25/21,401 Trail,6,C,in,in,none,,
05/25/21,401 Trail,6,B,in,in,Mertensia fusiformis,15,
05/25/21,401 Trail,6,B,in,in,none,,good nest habitat
05/25/21,401 Trail,6,A,in,in,none,,
05/25/21,401 Trail,5,D,in,in,Ranunculus inamoenus ,1,
05/25/21,401 Trail,5,D,in,in,Noccea fendleri,100,
05/25/21,401 Trail,5,C,in,in,Noccea fendleri,50,
05/25/21,401 Trail,5,B,in,in,Noccea fendleri,10,
05/25/21,401 Trail,5,A,in,in,none,,
05/25/21,401 Trail,2,B,in,in,Mertensia fusiformis,5,
05/25/21,401 Trail,2,A,in,in,Mertensia fusiformis,2,
05/25/21,401 Trail,2,C,in,in,none,,
05/25/21,401 Trail,2,D,in,in,none,,
05/25/21,401 Trail,1,D,in,in,none,,
05/25/21,401 Trail,1,C,in,in,none,,
05/25/21,401 Trail,1,B,in,in,none,,
05/25/21,401 Trail,1,A,in,in,none,,
05/25/21,401 Trail,1,NA,out,in,Pseudocymopterus montanus,,
05/25/21,401 Trail,1,NA,out,in,Taraxacum officinale,,
05/25/21,401 Trail,4,D,in,in,none,,
05/25/21,401 Trail,4,C,in,in,none,,
05/25/21,401 Trail,4,B,in,in,none,,
05/25/21,401 Trail,4,A,in,in,none,,
05/25/21,401 Trail,4,NA,out,in,Mertensia fusiformis,,
05/25/21,401 Trail,3,D,in,in,none,,
05/25/21,401 Trail,3,C,in,in,Mertensia fusiformis,3,
05/25/21,401 Trail,3,B,in,in,Claytonia lanceolata,6,
05/25/21,401 Trail,3,A,in,in,Claytonia lanceolata,4,
05/25/21,401 Trail,3,NA,out,in,Ranunculus inamoenus ,,
05/25/21,401 Trail,NA,NA,out,out,Fragaria virginiana,,
05/26/21,Waterfall,3,D,in,in,none,,
05/26/21,Waterfall,3,C,in,in,none,,
05/26/21,Waterfall,3,B,in,in,Mertensia fusiformis,6,
05/26/21,Waterfall,3,A,in,in,none,,
05/26/21,Waterfall,5,A,in,in,none,,
05/26/21,Waterfall,5,B,in,in,none,,
05/26/21,Waterfall,5,C,in,in,none,,
05/26/21,Waterfall,5,D,in,in,none,,
05/26/21,Waterfall,4,D,in,in,none,,
05/26/21,Waterfall,4,C,in,in,Mertensia fusiformis,7,
05/26/21,Waterfall,4,B,in,in,none,,
05/26/21,Waterfall,4,A,in,in,Mertensia fusiformis,24,
05/26/21,Waterfall,4,NA,out,in,Taraxacum officinale,,
05/26/21,Waterfall,6,D,in,in,Mertensia fusiformis,7,
05/26/21,Waterfall,6,C,in,in,none,,
05/26/21,Waterfall,6,B,in,in,none,,
