Date,Site,AM weather,PM weather,Day’s color,Plot 1 start AM,Plot 2 start AM,Plot 3 start AM,Plot 4 start AM,Plot 5 start AM,Plot 6 start AM,Plot 1 start PM,Plot 2 start PM,Plot 3 start PM,Plot 4 start PM,Plot 5 start PM,Plot 6 start PM,Notes
06/06/19,Snodgrass Lower,"clear, calm, warm","clear, calm, warmer",white,10:16:00,10:46:00,11:08:00,11:30:00,12:35:00,12:06:00,13:35:00,14:16:00,13:54:00,14:34:00,15:25:00,15:05:00,
06/07/19,Kettle Ponds,"partly cloudy, passing rain, warm otherwise","overcast, cool",white,12:43:00,12:23:00,11:04:00,10:13:00,10:44:00,11:54:00,,,,,,,"Rain in the morning, but a sunny break in the middle of the day. Rainy again after midday, didn’t sample."
06/08/19,Snodgrass Lower,"clear, calm, warm","clear, calm, warm",white,11:46:00,11:19:00,12:10:00,10:22:00,10:48:00,12:30:00,13:41:00,14:05:00,14:19:00,15:01:00,14:49:00,14:35:00,
06/10/19,Kettle Ponds,"clear, calm, warm",NA,white,,,,,,10:24:00,,,,,,,"Decided to end early because my car was messed up, and I abandoned the site"
06/11/19,Snodgrass Lower,"clear, warm, slightly breezy","clear, warm, a bit more breezy",white,11:02:00,11:49:00,11:26:00,12:50:00,12:18:00,10:38:00,15:30:00,15:46:00,15:00:00,14:19:00,14:05:00,14:40:00,
06/12/19,401 Trail,"clear, calm, warm","clear, calm, warm",white,12:19:00,12:39:00,13:00:00,13:12:00,13:45:00,14:16:00,,,,,,,"I was setting up the site, so only did one round of sampling"
06/13/19,Bellview Lower,"clear, calm, warm","clear, calm, warm",white,,,,,,,12:14:00,12:32:00,12:50:00,13:11:00,13:29:00,13:46:00,"I was setting up the site, so only did one round of sampling"
06/14/19,401 Trail,"clear, calm, warm","partly cloudy, warm, calm",white,11:46:00,12:53:00,11:28:00,10:53:00,11:11:00,12:30:00,14:38:00,13:46:00,14:09:00,14:23:00,13:58:00,14:51:00,
06/17/19,Bellview Lower,"mostly cloudy, cool, calm","rainy, cold, windy",white,,10:27:00,,,,,,,,,,,"This was a very cold, rainy day. I sampled in a brief window when it was sunny and warm. Stopped right before rain came."
06/19/19,401 Trail,"mostly clear, warm, calm","mostly clear, warm, calm",white,11:13:00,11:32:00,10:56:00,10:28:00,10:43:00,11:50:00,13:49:00,14:13:00,13:28:00,12:54:00,13:12:00,14:30:00,
06/20/19,Bellview Lower,"calm, clear, warm",NA,white,,,,,,,,,,,,,
06/21/19,401 Trail,"partly cloudy, warm, calm","partly cloudy, warm, calm",white,11:56:00,11:20:00,11:38:00,10:52:00,10:31:00,12:11:00,14:11:00,13:36:00,13:16:00,14:36:00,15:07:00,13:51:00,
06/24/19,Waterfall,"cool, clear, calm","warm, clear, calm",white,10:51:00,12:59:00,11:18:00,11:41:00,12:21:00,12:43:00,13:40:00,14:54:00,13:59:00,14:22:00,15:14:00,15:33:00,*
06/25/19,401 Trail,"warm, clear, calm","mostly cloudy, warm calm",white,11:31:00,10:43:00,11:53:00,10:24:00,11:01:00,12:18:00,13:45:00,13:19:00,14:02:00,15:23:00,15:09:00,14:40:00,
