Date,Site,AM weather,PM weather,Day’s color,Plot 1 start AM,Plot 2 start AM,Plot 3 start AM,Plot 4 start AM,Plot 5 start AM,Plot 6 start AM,Plot 1 start PM,Plot 2 start PM,Plot 3 start PM,Plot 4 start PM,Plot 5 start PM,Plot 6 start PM,Plot 1 lat,Plot 2 lat,Plot 3 lat,Plot 4 lat,Plot 5 lat,Plot 6 lat,Plot 1 lon,Plot 2 lon,Plot 3 lon,Plot 4 lon,Plot 5 lon,Plot 6 lon,Plot 1 bearing,Plot 2 bearing,Plot 3 bearing,Plot 4 bearing,Plot 5 bearing,Plot 6 bearing,Notes
05/14/21,401 Trail,"partly cloudy, calm, warm","partly cloudy, calm, warm",yellow,10:35:00,11:02:00,11:21:00,11:39:00,12:01:00,12:29:00,,,,,,,38.985021,38.986172,38.986439,38.985931,38.985607,38.985568,-107.004114,-107.002356,-107.00225,-107.001944,-107.002818,-107.003434,95,170,100,270,295,210,
05/15/21,Waterfall,"partly cloudy, calm, warm",,,10:29:00,10:48:00,11:09:00,11:27:00,11:48:00,12:21:00,,,,,,,38.994534,38.994911,38.995157,38.994697,38.994676,38.994054,-107.012673,-107.01258,-107.011875,-107.011295,-107.012064,-107.01245,50,155,145,265,205,260,
05/18/21,401 Trail,"partly cloudy, cool, breezy",,,10:16:00,10:35:00,10:59:00,11:17:00,11:47:00,12:07:00,,,,,,,38.98564,38.985853,38.985753,38.986201,38.98454,38.984864,-107.003992,-107.003495,-107.002654,-107.00192,-107.003865,-107.004625,220,90,225,320,235,350,
05/19/21,Waterfall,"partly cloudy, calm, warm",,,10:05:00,10:25:00,10:45:00,11:14:00,12:04:00,12:24:00,,,,,,,38.994513,38.99406,38.994351,38.99492,38.994562,38.99529,-107.01301,-107.012777,-107.012423,-107.012424,-107.012378,-107.011914,110,205,350,245,115,280,
05/20/21,401 Trail,"partly cloudy, breezy, cool",,yellow,10:31:00,10:54:00,11:14:00,11:35:00,12:10:00,,,,,,,,38.985394,38.985424,38.985549,38.986421,38.985062,,-107.004267,-107.003775553679,-107.002315398166,-107.001816568794,-107.004452,,210,125,205,35,230,,
05/25/21,401 Trail,"calm, warm, sunny","calm, warm, sunny",yellow,10:11:00,10:28:00,10:48:00,11:09:00,11:32:00,11:51:00,13:19:00,13:02:00,14:52:00,14:47:00,12:46:00,13:44:00,38.985783,38.985753,38.986522,38.986316,38.985348,38.985152,-107.00359,-107.003025,-107.001481,-107.002349,-107.002593,-107.004376,340,90,290,115,245,280,
05/26/21,Waterfall,"cloudy, cool, calm","cloudy, cool, breezy",yellow,10:26:00,10:47:00,11:05:00,11:22:00,11:40:00,12:03:00,,,12:59:00,,,,38.994683,38.994324,38.994317,38.994738,38.994921,38.994681,-107.013446,-107.01293,-107.012605,-107.012432,-107.011665,-107.011935,135,145,0,275,190,160,
05/27/21,401 Trail,"calm, clear, warm","calm, clear, warm",red,10:15:00,11:05:00,11:23:00,11:42:00,12:00:00,10:38:00,14:11:00,14:40:00,13:06:00,12:46:00,13:23:00,13:47:00,38.984674,38.985901,38.985781,38.986546,38.986362,38.985009,-107.003765,-107.003335,-107.002503,-107.001751,-107.002371,-107.004611,275,105,315,25,195,20,
05/28/21,Waterfall,"calm, clear, warm","calm, mostly clear, warm",red,09:37:00,09:57:00,10:14:00,10:56:00,11:13:00,10:31:00,13:00:00,12:39:00,12:23:00,13:36:00,13:16:00,12:05:00,38.994841,38.994934,38.99514,38.994352,38.993989,38.994906,-107.013488,-107.012141,-107.011809,-107.012269,-107.012422,-107.012335,205,95,265,350,165,200,
05/29/21,401 Trail,"calm, clear, warm","breezy, cloudy, cool",red,10:03:00,10:22:00,10:58:00,11:28:00,11:44:00,12:00:00,,,,,13:11:00,13:30:00,38.986196,38.986392,38.986033,38.985773,38.985416,38.98509,-107.002202,-107.001763,-107.003122,-107.003815,-107.003981,-107.004513,115,285,315,255,150,275,
